"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","35800","","","","0"
"1977","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","35700","","","","0"
"1978","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","35600","","","","0"
"1979","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","35200","","","","0"
"1980","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34900","","","","0"
"1981","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34300","","","","0"
"1982","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32200","","","","0"
"1983","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31000","","","","0"
"1984","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31300","","","","0"
"1985","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31800","","","","0"
"1986","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32500","","","","0"
"1987","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","33100","","","","0"
"1988","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","33700","","","","0"
"1989","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34600","","","","0"
"1990","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32300","","","","0"
"1991","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31400","","","","0"
"1992","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31200","","","","0"
"1993","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31200","A","","","0"
"1994","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31100","A","","","0"
"1995","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31100","A","","","0"
"1996","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31100","A","","","0"
"1997","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31600","A","","","0"
"1998","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31900","A","","","0"
"1999","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32300","A","","","0"
"2000","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32800","A","","","0"
"2001","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32300","A","","","0"
"2002","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32500","A","","","0"
"2003","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31800","A","","","0"
"2004","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","31800","A","","","0"
"2005","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32800","A","","","0"
"2006","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","32800","A","","","0"
"2007","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","33300","A","","","0"
"2008","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34500","A","","","0"
"2009","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","33600","A","","","0"
"2010","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","33300","A","","","0"
"2011","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","33400","A","","","0"
"2012","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34000","A","","","0"
"2013","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34500","A","","","0"
"2014","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","35000","A","","","0"
"2015","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34900","A","","","0"
"2016","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34600","A","","","0"
"2017","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","34900","A","","","0"
"2018","Canada","2016A000011124","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107660868","1.1.1.3.5","35600","A","","","0"
"1976","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","25700","","","","0"
"1977","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","25100","","","","0"
"1978","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","25500","","","","0"
"1979","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","24300","","","","0"
"1980","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","23200","","","","0"
"1981","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","25800","","","","0"
"1982","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","22900","","","","0"
"1983","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20700","","","","0"
"1984","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","18300","","","","0"
"1985","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","19000","","","","0"
"1986","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","17000","","","","0"
"1987","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","19300","","","","0"
"1988","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","19100","","","","0"
"1989","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20000","","","","0"
"1990","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","18700","","","","0"
"1991","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","16800","","","","0"
"1992","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","16000","","","","0"
"1993","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","17200","B","","","0"
"1994","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20100","B","","","0"
"1995","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20100","B","","","0"
"1996","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20300","B","","","0"
"1997","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","19600","B","","","0"
"1998","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","19200","B","","","0"
"1999","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","22000","B","","","0"
"2000","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","21500","B","","","0"
"2001","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20400","B","","","0"
"2002","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","20400","B","","","0"
"2003","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","21000","B","","","0"
"2004","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","21500","B","","","0"
"2005","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","21500","B","","","0"
"2006","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","22000","B","","","0"
"2007","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","24400","B","","","0"
"2008","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","26300","B","","","0"
"2009","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","26200","B","","","0"
"2010","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","27900","A","","","0"
"2011","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","30000","B","","","0"
"2012","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","31100","A","","","0"
"2013","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","31800","B","","","0"
"2014","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","33800","B","","","0"
"2015","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","33000","A","","","0"
"2016","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","32300","A","","","0"
"2017","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","31900","B","","","0"
"2018","Newfoundland and Labrador","2016A000210","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107664468","3.1.1.3.5","32900","A","","","0"
"1976","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","21400","","","","0"
"1977","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","21100","","","","0"
"1978","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","24900","","","","0"
"1979","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","23100","","","","0"
"1980","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","21800","","","","0"
"1981","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","21400","","","","0"
"1982","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","18900","","","","0"
"1983","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","20700","","","","0"
"1984","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","17700","","","","0"
"1985","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","18400","","","","0"
"1986","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","20100","","","","0"
"1987","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","20300","","","","0"
"1988","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19500","","","","0"
"1989","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","22900","","","","0"
"1990","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19600","","","","0"
"1991","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","18900","","","","0"
"1992","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","18200","","","","0"
"1993","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","18300","B","","","0"
"1994","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19500","B","","","0"
"1995","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19200","A","","","0"
"1996","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19800","A","","","0"
"1997","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19800","B","","","0"
"1998","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","19400","B","","","0"
"1999","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","18900","B","","","0"
"2000","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","20300","B","","","0"
"2001","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","20800","B","","","0"
"2002","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","20000","B","","","0"
"2003","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","21900","B","","","0"
"2004","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","21700","B","","","0"
"2005","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","23900","B","","","0"
"2006","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","24100","B","","","0"
"2007","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","25000","A","","","0"
"2008","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","25200","A","","","0"
"2009","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","24700","B","","","0"
"2010","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","24000","B","","","0"
"2011","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","25600","B","","","0"
"2012","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","25400","C","","","0"
"2013","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","27300","B","","","0"
"2014","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","26900","B","","","0"
"2015","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","28600","B","","","0"
"2016","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","27300","A","","","0"
"2017","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","27200","B","","","0"
"2018","Prince Edward Island","2016A000211","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107666268","4.1.1.3.5","28500","A","","","0"
"1976","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","30900","","","","0"
"1977","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","28900","","","","0"
"1978","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","28900","","","","0"
"1979","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","29700","","","","0"
"1980","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","29000","","","","0"
"1981","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27200","","","","0"
"1982","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26700","","","","0"
"1983","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27100","","","","0"
"1984","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25400","","","","0"
"1985","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25900","","","","0"
"1986","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26300","","","","0"
"1987","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","28800","","","","0"
"1988","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","29100","","","","0"
"1989","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","28500","","","","0"
"1990","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27400","","","","0"
"1991","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25800","","","","0"
"1992","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25200","","","","0"
"1993","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25100","A","","","0"
"1994","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","24500","B","","","0"
"1995","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","24000","B","","","0"
"1996","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","24700","A","","","0"
"1997","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25400","A","","","0"
"1998","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25600","B","","","0"
"1999","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26500","A","","","0"
"2000","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27100","B","","","0"
"2001","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27400","A","","","0"
"2002","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26700","A","","","0"
