Date,Sector,Value,Of_Total,Yearly_Total,Percentage
1976,Accommodation and food services,413300,4.24,9747700,4.24%
1977,Accommodation and food services,461200,4.65,9917100,4.65%
1978,Accommodation and food services,489800,4.79,10220000,4.79%
1979,Accommodation and food services,535800,5.02,10668500,5.02%
1980,Accommodation and food services,589300,5.37,10984000,5.37%
1981,Accommodation and food services,613600,5.43,11305100,5.43%
1982,Accommodation and food services,608400,5.56,10943600,5.56%
1983,Accommodation and food services,616200,5.59,11021900,5.59%
1984,Accommodation and food services,633000,5.6,11301800,5.60%
1985,Accommodation and food services,653000,5.6,11658000,5.60%
1986,Accommodation and food services,680700,5.67,12008500,5.67%
1987,Accommodation and food services,716700,5.81,12333100,5.81%
1988,Accommodation and food services,728800,5.73,12709600,5.73%
1989,Accommodation and food services,748700,5.76,12996200,5.76%
1990,Accommodation and food services,773500,5.91,13086400,5.91%
1991,Accommodation and food services,758600,5.9,12857500,5.90%
1992,Accommodation and food services,769600,6.05,12730800,6.05%
1993,Accommodation and food services,772100,6.04,12792700,6.04%
1994,Accommodation and food services,799100,6.12,13058800,6.12%
1995,Accommodation and food services,816100,6.14,13295500,6.14%
1996,Accommodation and food services,846200,6.31,13420100,6.31%
1997,Accommodation and food services,865700,6.32,13708300,6.32%
1998,Accommodation and food services,908000,6.46,14047100,6.46%
1999,Accommodation and food services,913600,6.34,14401900,6.34%
2000,Accommodation and food services,940900,6.37,14760300,6.37%
2001,Accommodation and food services,948100,6.35,14932400,6.35%
2002,Accommodation and food services,985100,6.44,15291200,6.44%
2003,Accommodation and food services,1002300,6.4,15661100,6.40%
2004,Accommodation and food services,1006900,6.33,15915200,6.33%
2005,Accommodation and food services,1001200,6.21,16123500,6.21%
2006,Accommodation and food services,1018100,6.21,16395900,6.21%
2007,Accommodation and food services,1072200,6.39,16769400,6.39%
2008,Accommodation and food services,1088500,6.4,17010100,6.40%
2009,Accommodation and food services,1075700,6.43,16727600,6.43%
2010,Accommodation and food services,1097600,6.47,16964200,6.47%
2011,Accommodation and food services,1141100,6.63,17220800,6.63%
2012,Accommodation and food services,1170100,6.71,17437900,6.71%
2013,Accommodation and food services,1169600,6.61,17691100,6.61%
2014,Accommodation and food services,1207500,6.78,17802200,6.78%
2015,Accommodation and food services,1210600,6.75,17946400,6.75%
2016,Accommodation and food services,1212700,6.71,18080000,6.71%
2017,Accommodation and food services,1210800,6.57,18416400,6.57%
2018,Accommodation and food services,1235000,6.62,18657700,6.62%
2019,Accommodation and food services,1215700,6.38,19055500,6.38%
1976,Agriculture,463900,4.76,9747700,4.76%
1977,Agriculture,451800,4.56,9917100,4.56%
1978,Agriculture,434000,4.25,10220000,4.25%
1979,Agriculture,447300,4.19,10668500,4.19%
1980,Agriculture,436900,3.98,10984000,3.98%
1981,Agriculture,437600,3.87,11305100,3.87%
1982,Agriculture,442000,4.04,10943600,4.04%
1983,Agriculture,451500,4.1,11021900,4.10%
1984,Agriculture,438400,3.88,11301800,3.88%
1985,Agriculture,449200,3.85,11658000,3.85%
1986,Agriculture,466500,3.88,12008500,3.88%
1987,Agriculture,464500,3.77,12333100,3.77%
1988,Agriculture,450600,3.55,12709600,3.55%
1989,Agriculture,442900,3.41,12996200,3.41%
1990,Agriculture,439000,3.35,13086400,3.35%
1991,Agriculture,448900,3.49,12857500,3.49%
1992,Agriculture,439400,3.45,12730800,3.45%
1993,Agriculture,445500,3.48,12792700,3.48%
1994,Agriculture,437200,3.35,13058800,3.35%
1995,Agriculture,419300,3.15,13295500,3.15%
1996,Agriculture,417700,3.11,13420100,3.11%
1997,Agriculture,412200,3.01,13708300,3.01%
1998,Agriculture,420100,2.99,14047100,2.99%
1999,Agriculture,404100,2.81,14401900,2.81%
2000,Agriculture,371300,2.52,14760300,2.52%
2001,Agriculture,322600,2.16,14932400,2.16%
2002,Agriculture,323700,2.12,15291200,2.12%
2003,Agriculture,330000,2.11,15661100,2.11%
2004,Agriculture,322000,2.02,15915200,2.02%
2005,Agriculture,342100,2.12,16123500,2.12%
2006,Agriculture,346300,2.11,16395900,2.11%
2007,Agriculture,335500,2,16769400,2.00%
2008,Agriculture,330100,1.94,17010100,1.94%
2009,Agriculture,326900,1.95,16727600,1.95%
2010,Agriculture,306600,1.81,16964200,1.81%
2011,Agriculture,307900,1.79,17220800,1.79%
2012,Agriculture,305700,1.75,17437900,1.75%
2013,Agriculture,314000,1.77,17691100,1.77%
2014,Agriculture,305100,1.71,17802200,1.71%
2015,Agriculture,294900,1.64,17946400,1.64%
2016,Agriculture,289200,1.6,18080000,1.60%
2017,Agriculture,279500,1.52,18416400,1.52%
2018,Agriculture,277200,1.49,18657700,1.49%
2019,Agriculture,287600,1.51,19055500,1.51%
1976,"Business, building and other support services",161400,1.66,9747700,1.66%
1977,"Business, building and other support services",168800,1.7,9917100,1.70%
1978,"Business, building and other support services",187100,1.83,10220000,1.83%
1979,"Business, building and other support services",197100,1.85,10668500,1.85%
1980,"Business, building and other support services",199800,1.82,10984000,1.82%
1981,"Business, building and other support services",211100,1.87,11305100,1.87%
1982,"Business, building and other support services",213400,1.95,10943600,1.95%
1983,"Business, building and other support services",221800,2.01,11021900,2.01%
1984,"Business, building and other support services",238600,2.11,11301800,2.11%
1985,"Business, building and other support services",264000,2.26,11658000,2.26%
1986,"Business, building and other support services",279300,2.33,12008500,2.33%
1987,"Business, building and other support services",272700,2.21,12333100,2.21%
1988,"Business, building and other support services",288400,2.27,12709600,2.27%
1989,"Business, building and other support services",313000,2.41,12996200,2.41%
1990,"Business, building and other support services",315900,2.41,13086400,2.41%
1991,"Business, building and other support services",319400,2.48,12857500,2.48%
1992,"Business, building and other support services",322900,2.54,12730800,2.54%
1993,"Business, building and other support services",342900,2.68,12792700,2.68%
1994,"Business, building and other support services",365600,2.8,13058800,2.80%
1995,"Business, building and other support services",402900,3.03,13295500,3.03%
1996,"Business, building and other support services",421100,3.14,13420100,3.14%
1997,"Business, building and other support services",440400,3.21,13708300,3.21%
1998,"Business, building and other support services",476600,3.39,14047100,3.39%
1999,"Business, building and other support services",502500,3.49,14401900,3.49%
2000,"Business, building and other support services",531200,3.6,14760300,3.60%
2001,"Business, building and other support services",532900,3.57,14932400,3.57%
2002,"Business, building and other support services",581800,3.8,15291200,3.80%
2003,"Business, building and other support services",608000,3.88,15661100,3.88%
2004,"Business, building and other support services",627100,3.94,15915200,3.94%
2005,"Business, building and other support services",650100,4.03,16123500,4.03%
2006,"Business, building and other support services",680600,4.15,16395900,4.15%
2007,"Business, building and other support services",695800,4.15,16769400,4.15%
2008,"Business, building and other support services",704300,4.14,17010100,4.14%
2009,"Business, building and other support services",683900,4.09,16727600,4.09%
2010,"Business, building and other support services",691500,4.08,16964200,4.08%
2011,"Business, building and other support services",694300,4.03,17220800,4.03%
2012,"Business, building and other support services",704300,4.04,17437900,4.04%
2013,"Business, building and other support services",740900,4.19,17691100,4.19%
2014,"Business, building and other support services",734800,4.13,17802200,4.13%
2015,"Business, building and other support services",760600,4.24,17946400,4.24%
2016,"Business, building and other support services",766400,4.24,18080000,4.24%
2017,"Business, building and other support services",756600,4.11,18416400,4.11%
2018,"Business, building and other support services",777100,4.17,18657700,4.17%
2019,"Business, building and other support services",776300,4.07,19055500,4.07%
1976,Construction,681600,6.99,9747700,6.99%
1977,Construction,688300,6.94,9917100,6.94%
1978,Construction,685100,6.7,10220000,6.70%
1979,Construction,694400,6.51,10668500,6.51%
