Date,Sector,Value,Region,Short_Code
1976,Accommodation and food services,32900,Western,AB
1976,Agriculture,110800,Western,AB
1976,"Business, building and other support services",13600,Western,AB
1976,Construction,78800,Western,AB
1976,Educational services,60800,Western,AB
1976,"Finance, insurance, real estate, rental and leasing",45300,Western,AB
1976,"Forestry, fishing, mining, quarrying, oil and gas",37900,Western,AB
1976,Health care and social assistance ,63700,Western,AB
1976,"Information, culture and recreation ",29500,Western,AB
1976,Manufacturing,71600,Western,AB
1976,Other services (except public administration),36300,Western,AB
1976,"Professional, scientific and technical services",24600,Western,AB
1976,Public administration,54000,Western,AB
1976,Transportation and warehousing,49200,Western,AB
1976,Utilities,7300,Western,AB
1976,Wholesale and retail trade,138500,Western,AB
1977,Accommodation and food services,40800,Western,AB
1977,Agriculture,93400,Western,AB
1977,"Business, building and other support services",15300,Western,AB
1977,Construction,85600,Western,AB
1977,Educational services,66000,Western,AB
1977,"Finance, insurance, real estate, rental and leasing",52900,Western,AB
1977,"Forestry, fishing, mining, quarrying, oil and gas",46900,Western,AB
1977,Health care and social assistance ,63900,Western,AB
1977,"Information, culture and recreation ",31800,Western,AB
1977,Manufacturing,74500,Western,AB
1977,Other services (except public administration),38800,Western,AB
1977,"Professional, scientific and technical services",28800,Western,AB
1977,Public administration,55800,Western,AB
1977,Transportation and warehousing,50200,Western,AB
1977,Utilities,7300,Western,AB
1977,Wholesale and retail trade,151500,Western,AB
1978,Accommodation and food services,46700,Western,AB
1978,Agriculture,80800,Western,AB
1978,"Business, building and other support services",18400,Western,AB
1978,Construction,103400,Western,AB
1978,Educational services,61800,Western,AB
1978,"Finance, insurance, real estate, rental and leasing",53600,Western,AB
1978,"Forestry, fishing, mining, quarrying, oil and gas",58000,Western,AB
1978,Health care and social assistance ,69500,Western,AB
1978,"Information, culture and recreation ",36200,Western,AB
1978,Manufacturing,80500,Western,AB
1978,Other services (except public administration),40700,Western,AB
1978,"Professional, scientific and technical services",35300,Western,AB
1978,Public administration,56100,Western,AB
1978,Transportation and warehousing,54600,Western,AB
1978,Utilities,8600,Western,AB
1978,Wholesale and retail trade,155000,Western,AB
1979,Accommodation and food services,55500,Western,AB
1979,Agriculture,77300,Western,AB
1979,"Business, building and other support services",20900,Western,AB
1979,Construction,118200,Western,AB
1979,Educational services,61300,Western,AB
1979,"Finance, insurance, real estate, rental and leasing",58300,Western,AB
1979,"Forestry, fishing, mining, quarrying, oil and gas",65200,Western,AB
